xxx_3650070268	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	第一缕天光从窗外透来时，辰星便睁开了她的眼睛。	第一縷天光從窗外透來時，辰星便睜開了她的眼睛。	朝の光が窓から差し込んでくるとき、辰星は目を開けた。	새벽 햇빛이 창문을 통해 들어왔고, 수성은 눈을 떴다.	Chenxing opened her eyes as the first rays of sunlight shined through the windows.						0
2	昨晚凌乱的声色带着滚烫的温度闪过脑海，可很快被她主动隐去。	昨晚凌亂的聲色帶著滾燙的溫度閃過腦海，可很快被她主動隱去。	昨夜の乱れた吐息と熱い感触が脳裏をよぎったが、すぐに彼女はそれを心の奥にしまい込んだ。	어젯밤 뜨거운 온도와 소란스러웠던 소리가 머릿속을 스쳐 지나갔고, 그녀는 재빨리 머릿속에서 그 기억들을 지웠다.	Accompanied by a fiery heat, the jumbled sounds from the previous night echoed in her mind. However, she quickly brushed them aside.						0
3	她枕着手臂，就趴在分析员的身边，静静凝视着他熟睡的面庞。	她枕著手臂，就趴在分析員的身邊，靜靜凝視著他熟睡的臉。	辰星は分析員の腕を枕にし、静かに横たわると、彼の寝顔をじっと見つめた。	그녀는 팔베개를 베고 분석가 옆에서 깊은 잠에 빠진 그의 모습을 바라봤다.	Chenxing rested her head on her arms, laying on her stomach next to the Adjutant. She quietly watched his sleeping face.						0
4	无需在记忆中贪恋那些美好，她今生所有的幸福就在现实的眼前。	無需在記憶中貪戀那些美好，她今生所有的幸福就在現實的眼前。	記憶のなかで幸せに浸る必要はない。彼女の人生すべての幸せは、今、目の前にある。	더 이상 기억 속 아름다운 추억에 미련 가질 필요가 없었다. 왜냐하면 그녀의 눈앞에 행복이 펼쳐지고 있었기 때문이다.	She didn't need to covet those beautiful memories. At that moment, every bit of her happiness today was right before her eyes.						0
5	手掌轻轻抚摸着分析员的脸颊，忽然之间，一双明亮的眼睛睁开了。	手掌輕輕撫摸分析員的臉頰，突然之間，一雙明亮的眼睛睜開了。	分析員の顔を優しく撫でていると、彼は目を開いた。	손바닥으로 분석가의 얼굴을 쓰다듬고 있는데, 순간 그가 눈을 떴다.	She softly caressed the Adjutant's cheek with her palm. Suddenly, his bright eyes opened.						0
6	怎么不多睡会。	怎麼不多睡會。	もっと寝ていればよかったのに。	조금 더 자지 그래요.	You don't want to sleep a little longer?						0
7	我抓住少女触碰我脸颊的手，放在嘴边轻轻咬了一口。	我抓住少女觸碰我臉頰的手，放在嘴邊輕輕咬了一口。	私は頬に置かれた辰星の手を取り、軽く歯を立てた。	난 소녀가 얼굴을 쓰다듬던 손을 잡고, 입가로 가져가 가볍게 깨물었다.	I grabbed the girl's hand on my cheek. Moving it to my mouth, I gently bit down.						0
8	昨夜我完成了与辰星的恒约，一整个白天，我们都不曾停歇，招待姬家的宾客，按照彩排的预演，完美完成了每一个环节。	昨夜我完成了與辰星的恆約，一整個白天，我們都不曾停歇，招待姬家的賓客，按照彩排的預演，完美完成了每一個環節。	昨夜、私は辰星との誓約を交わした。それから一日中休むことなく、姫家の客をもてなし、リハーサル通りに儀式を完璧にこなした。	어젯밤, 난 수성과 언약을 맺었고, 하루 종일 멈추지 않고 희씨 가문의 손님을 맞이하며 리허설대로 모든 일정을 완벽하게 소화해 냈다.	We had completed the Covenant last night. During the day, we greeted members of the Ji family nonstop, following everything we'd practiced in the rehearsals perfectly.						0
9	在后半夜，我和辰星更是累得够呛。我以为这一觉能睡到日上三竿。	後半夜，我和辰星更是累得夠嗆。我以為這一覺能睡到日上三竿。	夜中になって、辰星と私は疲れ果てていた。正直、このまま昼まで起きないだろうと思っていた。	늦은 밤, 나와 수성은 지칠 때로 지쳐, 해가 중천에 뜰 때까지 늦잠을 자버릴 거라 생각했다.	Chenxing and I were exhausted after midnight. I figured we'd sleep well into the next day.						0
10	是做了不好的梦吗？	是做了不好的夢嗎？	悪い夢でも見たのか？	안 좋은 꿈 꿨어요?	Did you have a bad dream?						0
11	我伸手捏了捏她柔嫩的脸。	我伸手捏了捏她柔嫩的臉。	私は彼女の柔らかい頬を少しつねった。	난 손을 뻗어 그녀의 얼굴을 살짝 꼬집었다.	I reached out to pinch her soft cheek.						0
12	她摇了摇头，露出浅浅的笑，将脸颊主动贴在我的掌心。	她搖了搖頭，露出淺淺的笑，將臉頰主動貼在我的掌心。	彼女は首を横に振り、かすかな笑みを浮かべ、私の手のひらに顔をすり寄せた。	그녀는 고개를 저으며 옅은 미소를 지으며, 얼굴을 내 손바닥에 밀착시켰다.	She shook her head. Smiling, she rested her cheek in my palm.						0
13	应该说，做了很好的梦。	應該說，做了很好的夢。	いいえ、いい夢を見ましたよ。	정확히 말하면 좋은 꿈을 꿨어요.	I had a lot of sweet dreams.						0
14	什么梦？	什麼夢？	どんな夢？	무슨 꿈을 꿨는데요?	Like what?						0
15	我有些忘了。	我有些忘了。	忘れちゃいました。	기억이 잘 안 나요.	I forgot.						0
16	她说着离奇的谎话。	她說著離奇的謊話。	彼女はバレバレな嘘を言いはじめた。	그녀는 말도 안 되는 거짓말을 했다.	It was a lie if I'd ever heard one.						0
17	分析员……不，郎君给我奖励的话，我说不定会想起来。	分析員……不，郎君給我獎勵的話，我說不定會想起來。	分析員がご褒美をくれたら、思い出すかもしれません。	분석가님… 아니, 우리 낭군님이 보상을 해주면 생각날지도 모르겠네요.	Adjutant... I mean, My Prince... I might remember if you give me a reward.						0
18	我意外看着怀中的少女，她却坦然用清澈的眸子与我对视。	我意外看著懷中的少女，她卻坦然用清澈的眼眸與我對視。	私は意外そうに腕のなかにいる少女を見た。なのに彼女は澄んだ瞳で見つめ返してきた。	난 품속의 소녀를 바라봤지만 그녀는 당당하게 맑은 눈동자로 나와 눈을 마주쳤다.	Surprised, I looked at the girl in my arms. She simply looked at me with a calm and clear gaze.						0
19	这可是你自己要的啊。	這可是你自己要的啊。	君が言い出したからな。	당신이 해달라고 한 거예요.	You asked for it.						0
20	嗯呢，郎君~	嗯呢，郎君~	はい、分析員。	네, 낭군님~	I know, My Prince~						0
21	在我的怀里，辰星越发大胆起来，主动向我索取。	在我的懷裡，辰星越發大膽起來，主動向我索取。	辰星はますます大胆になり、積極的に私に求めてきた。	나의 품속에서, 수성은 점점 더 대담해지더니 먼저 이것저것을 요구했다.	Nestled in my embrace, Chenxing had gathered up the nerve to ask me for something.						0
22	于是我一点点吃掉她唇边残留的，昨晚没有吃掉的胭脂。	於是我一點點吃掉她唇邊殘留的，昨晚沒有吃掉的胭脂。	だから、私は彼女の口元に残る口紅を舐め始めた。	그래서 난 그녀의 입가에 남아있는, 어젯밤에 다 지우지 못한 연지를 조금씩 지워가기 시작했다.	Bit by bit, I licked the lipstick off her lips that I hadn't last night.						0
31	她脸上染着桃花般的粉色，眼中满是莹润的水光。望着少女这般娇艳的模样，我又怎么能忍住不向她传达我的爱意。	她臉上染著桃花般的粉紅色，眼中滿是瑩潤的水光。望著少女這般嬌豔的模樣，我又怎麼能忍住不向她傳達我的愛意。	彼女は桃色に染まった頬と潤んだ目で私を見た。こんなにも愛らしい辰星を見て、私は自分の愛を伝えずにはいられなかった。	그녀의 얼굴은 복숭아꽃처럼 붉어졌고, 눈동자는 맑고 촉촉해졌다. 소녀의 이런 아름다운 모습을 보고 어떻게 나의 사랑하는 마음을 표현 안 할 수가 없었다.	Her cheeks were as pink as peach blossoms, her eyes swimming with watery radiance. As I admired her beauty, I couldn't help expressing my love for her.						0
32	与辰星温存了一会，我们才慢吞吞从床上爬起。	與辰星溫存了一會，我們才慢慢吞吞從床上爬起。	辰星としばらく甘い時間を過ごした後、私たちはゆっくりとベッドから起き上がった。	수성과 따뜻한 시간을 만끽하고 나서, 우리는 천천히 침대에서 일어났다.	After cuddling with Chenxing for some time, we slowly climbed out of bed.						0
33	她帮着我穿好了衣服，自己也换上了外出的衣服后，又将手轻轻递到我的面前。	她幫著我穿好了衣服，自己也換上了外出的衣服後，又將手輕輕遞到我的面前。	彼女は私の着替えを手伝い、自分も着替えた後、私にそっと手を差し出した。	그녀는 내가 옷 입는 걸 도와주고, 자신도 외출 복장으로 갈아입은 후, 손을 나에게 건넸다.	After she helped me get dressed, she gently reached out to me.						0
b-1											0
34	抓住她的手	抓住她的手	彼女の手を握る	그녀의 손잡기	Take her hand						0
35	今天，有什么想去的地方吗？	今天，有什麼想去的地方嗎？	今日、どこか行きたい場所はあるか？	오늘, 가고 싶은 곳 있어요?	Do you want to go somewhere today?						0
36	恒约后的这天，是独属于我和辰星的时光。我们可以选择在家悠闲地度过一整天，也可以去一些特别的地方。	恆約後的這天，是獨屬於我和辰星的時光。我們可以選擇在家悠閒地度過一整天，也可以去一些特別的地方。	誓約の儀式の翌日である今日は、私と辰星だけの時間だ。家で一日中のんびり過ごしても、どこかに出掛けようと自由だ。	언약 후의 하루는 나와 수성만의 시간이었다. 우리는 집에서 편하게 하루를 보낼 수도, 특별한 곳을 갈 수도 있었다.	The day after our Covenant belonged to me and Chenxing alone. We could choose to spend the entire day at home or go somewhere special.						0
37	而在我脑中，对于接下来要做什么，已经有了答案。	而在我腦中，對於接下來要做什麼，已經有了答案。	だが私は、これから向かうであろう場所の予想がついていた。	하지만 나의 머릿속에는, 앞으로 무엇을 할지 이미 다 정해져 있었다.	And in my head, I already knew exactly what we were going to do.						0
38	有！	有！	あります！	네!	Yes!						0
39	听着辰星不假思索的答复，我便明白我们想到了一块。	聽著辰星不假思索的答復，我便明白我們想到了一起。	辰星の答えを聞いて、私たちは同じことを考えていたとわかる。	망설임 없는 수성의 대답을 듣자, 우리가 같은 생각을 하고 있다는 걸 바로 깨달았다.	When I heard Chenxing's immediate response, I knew we were on the same page.						0
40	要一起拿出来吗？	要一起拿出來嗎？	一緒に出す？	같이 꺼낼까요?	Should we take them out together?						0
41	我们对视一眼，然后……一齐取出了一张大头贴。	我們對視一眼，然後……一齊取出了一張大頭貼。	私たちは顔を見合わせると、同時にプリクラを取り出した。	우리는 서로 한번 쳐다본 뒤… 같이 스티커 사진을 꺼내었다.	We looked at each other and... pulled out our photo booth pictures at the same time.						0
42	双人合影的大头贴，我和辰星都各有一张，不过在大头贴的背面都有“恒约留影兑换券（1/2）”的文字，两张一齐取出来，才算是完整的兑换券。	雙人合照的大頭貼，我和辰星都各有一張，不過在大頭貼的背面都有「恆約留影兌換券（1/2）」的文字，兩張一齊取出來，才算是完整的兌換券。	ふたりで撮ったあのプリクラは、私と辰星でそれぞれ一枚ずつ持っていた。裏に「誓約記念写真交換券（1/2）」と書かれているそれは、2枚を組み合わせると完全な交換券になる。	두 사람의 스티커 사진, 나와 수성이 한 장씩 가지고 있다. 사진 뒷면에는 '언약 기념사진 교환(1/2)'이 적혀 있었고 두 장을 함께 출시해야 완전한 교환권이 될 수 있다.	Chenxing and I had a copy of our photo booth pictures, with "Covenant Photo Shoot Exchange Coupon (1/2)" written on the back. They were only considered complete when put together.						0
43	郎君……果然记得。	郎君……果然記得。	あなた……やっぱり覚えていたんですね。	낭군님도… 기억하고 있었네요.	My Prince... you remembered. I knew you would.						0
44	用心记住的东西……就算没有特殊的能力，一样是永恒的。	用心記住的東西……就算沒有特殊的能力，一樣是永恆的。	心に刻んだことは、君のような能力がなくても、永遠に忘れられないからな。	마음속으로 기억한 것은… 특별한 능력이 없어도 영원히 기억할 수 있거든요.	If it's something you truly care about... even without a special ability, you'll remember it for eternity.						0
45	她的眸光闪闪发亮。	她的眼神閃閃發亮。	彼女の瞳はキラキラと輝いていた。	그녀의 눈빛이 반짝거렸다.	Her eyes glistened.						0
46	她紧紧将我递过去的大头贴抓在手心里，忽然又踮了踮脚，拉住我的衣角，向我怀里凑近几步。	她緊緊將我遞過去的大頭貼抓在手心裡，忽然又踮了踮腳，拉住我的衣角，向我懷裡湊近幾步。	辰星は私が差し出したプリクラを握りしめると、突然つま先立ちになって、私の服の裾を引っ張り、顔を私の胸に近づけた。	그녀는 내가 건넨 스티커 사진을 손에 꽉 쥐고, 갑자기 까치발을 들고 나의 옷깃을 잡은 다음 나에게 가까이 다가왔다.	Her hand gripped mine tightly as she stood on her tiptoes. She pulled at the hem of my shirt, moving deeper into my embrace.						0
47	郎君，可以背我过去吗？	郎君，可以背我過去嗎？	あなた、おんぶしてくれますか？	낭군님, 저 업어줄래요?	My Prince, can you carry me on your back?						0
48	嗯，这是我答应的事啊。	嗯，這是我答應的事啊。	もちろんだ。	아, 그건 제가 약속한 일이잖아요.	Ah, of course. That's what I agreed to.						0
49	我在她的身前转过身去，微微蹲下。	我在她的身前轉過身去，微微蹲下。	私は彼女に背中を見せて、しゃがみ込んだ。	난 그녀의 앞으로 다가가 몸을 돌린 뒤, 자세를 살짝 낮추었다.	I turned around in front of her, crouching down slightly.						0
50	也是我和郎君的默契。	也是我和郎君的默契。	あなたとは、やっぱり息が合いますね。	저와 낭군님의 팀워크이기도 하죠.	That's part of our unspoken understanding, My Prince.						0
51	辰星很自然地扑在了我的背后，双手环住了我的脖子。	辰星自然地撲在了我的背後，雙手環住了我的脖子。	辰星は自然と私の背中にしがみつき、両腕で私の首を抱きしめた。	수성은 자연스럽게 나의 등에 업히고, 두 손으로 나의 목을 감쌌다.	Chenxing climbed onto my back comfortably, her arms wrapping around my neck.						0
52	还想打伞吗？	還想打傘嗎？	傘も差そうか？	이번에도 우산을 쓰고 싶어요?	Do you want an umbrella?						0
53	我双手自然托住她的腿弯，缓缓起身。	我雙手自然托住她的腿彎，緩緩起身。	私は自然に彼女の足に手のひらを添えて、ゆっくりと立ち上がった。	나는 두 손으로 그녀의 다리를 살짝 부축하고 천천히 몸을 일으켰다.	My hands naturally moved to support her legs as I stood up.						0
54	可是外面没有下雨。	可是外面沒有下雨。	でも、雨が降ってませんよ。	하지만 밖에 비가 안 내리잖아요.	But it isn't raining.						0
55	不是得下雨才要打伞，外面太阳也挺大的。	不是非下雨才能打傘，外面太陽也很大的。	傘は雨のためだけのものじゃないよ。日差しにも強いだろう？	비 오는 날만 쓰는 건 아니에요. 밖에 햇볕도 엄청 강하잖아요.	It doesn't have to be raining to use an umbrella. The sunshine is pretty bright.						0
56	嗯。	嗯。	そうですね。	그래요.	Okay.						0
57	我和辰星说着话，就背着她走出了公司。	我和辰星說著話，就背著她走出了公司。	辰星と話しながら、彼女をおんぶして会社を出た。	난 수성에게 이야기를 하며 그녀를 업고 회사를 나섰다.	I carried Chenxing out of the company as we talked.						0
58	少女的体态和轻盈，轻柔地压在我的身上，可对我而言，这份重量举足轻重——这是我需要用尽一生去支撑的重量。	少女的體態和輕盈，輕柔地壓在我的身上，可對我而言，這份重量舉足輕重——這是我需要用盡一生去支撐的重量。	少女の軽やかな体が優しく背中にのしかかる。でも私にとって、この重さはかけがえのないもの――一生をかけて支えなければならない重さだ。	등 뒤에서는 가벼운 소녀가 업혀있었지만, 이 무게는 내가 한평생 동안 지탱해야 하는 아주 중요하고 소중한 무게였다.	Her light body pressed gently against my back. But to me, every ounce of weight was important; it was a weight I had to support for the rest of my life.						0
59	在街边我们偶遇了卖冰淇淋的车。在辰星开口之前，我便背着她来到了冰淇淋的窗口前。	在街上我們偶遇了賣冰淇淋的車。在辰星開口之前，我便背著她來到了冰淇淋的窗口前。	途中で、アイスクリームの屋台に偶然出会った。辰星が言い出す前に、私は彼女をおんぶして屋台に近づいた。	길가에서 아이스크림 차가 있는 걸 보고, 수성이 말을 하기 전에 그녀를 데리고 아이스크림 차로 향했다.	We happened upon an ice cream truck as we walked along the street. Before Chenxing could say a word, I had already carried her to the window.						0
60	买冰淇淋是吧？你们要几支？	買冰淇淋是吧？你們要幾支？	アイスクリームですね、何本お買い上げになりますか？	아이스크림 사러 오신 거죠? 몇 개 드릴까요?	Looking to buy some ice cream? How many cones would you like?						0
61	两……	兩……	2……	두…	Two, pleas—						0
62	一支。	一支。	1本で。	한 개요.	One.						0
63	郎君，我只想要一支。	郎君，我只想要一支。	あなた、1本で大丈夫です。	낭군님, 한 개만 있으면 돼요.	My Prince, I only want one.						0
64	我想试试……另一种吃法。	我想試試……另一種吃法。	別の食べ方を試してみたいので。	다른… 먹는 방법을 시도해 보고 싶거든요.	I want to... try something new.						0
65	我笑着看了她一眼。	我笑著看了她一眼。	私は笑顔で彼女を見た。	난 웃으며 그녀를 바라봤다.	I smiled as I looked at her.						0
66	店长，我们要两支的量，但是做成一支。	店長，我們要兩支的量，但做成一支。	店長、2本分を大きい1本にできないかな？	사장님, 두 개를 하나에 합쳐서 주세요.	Give us two portions in one cone, please.						0
67	只是一支，可不够我和辰星吃的。	只是一支，可不夠我和辰星吃的。	1本だけでは、量があまりにも少ないからだ。	하나의 양으로는 나와 수성에게는 부족했다.	Just one wouldn't be enough for Chenxing and me.						0
68	微风吹过，我和辰星继续向着目的地走去。	微風吹過，我和辰星繼續往著目的地走去。	そよ風のなかで、私と辰星は目的地に向かって歩き続けた。	바람이 불어왔고, 나와 수성은 계속해서 목적지를 향해 걸어갔다.	A soft breeze blew as Chenxing and I continued toward our destination.						0
