xxx_2507357847	A	A	A	A	A	A	A
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable
1		0				如果一开始，就坚信自己能赢。	0
2		0				这样的人还算赌徒吗？	0
3		0				在妮塔吐露所有后，我没有急着回应，只是递过一杯热水。	0
4		0				她咕咚咕咚灌下去三分之二，热水的温暖让她的脸上总算有了些血色。	0
5		0				做完这些，我看向她，缓缓吐出话语。	0
6		0	分析员			我见过很多赌徒，牌桌前、战场上。但不管在哪里，她们都有些共同的特点。	0
7		0	分析员			比如，即使她们已经掌握许多筹码，但在骰点揭晓前，她们的手在桌前永远颤抖不已。	0
8		0	分析员			又比如，她们信仰运气。	0
9		0	分析员			我用了“信仰”这个词，因为幸运已经成了她们的神。信徒就该匍匐跪地，虔诚地祈求眷顾与赐福。	0
10		0	分析员			但就在刚才……	0
11		0	分析员			她们膜拜的神，在你心里还比不上一些拾荒技巧。	0
12		0	分析员			还以为你会把好运水晶给她，是舍不得吗？	0
13		6	妮塔			没有，没有舍不得。	0
14		6	妮塔			我只是觉得，拾荒经验对她来说可能会更有用。	0
15		0	分析员			这样的你，怎么会是个赌徒呢？	0
16		0				妮塔眼神茫然，意识似乎坠入了一个绚丽又混沌的异空间	0
17		6	妮塔病号服			咳咳……好痛……	0
18		6	妮塔病号服			我……还活着？撑过了巴德尔抑制剂的不良反应？	0
19		0				火焰席卷了回忆，妮塔又坠落到那个名为“卡戎海上平台”的战场。	0
20		0				她站在火海中央，呼吸急促如风，试图控制体内涌动的狂暴力量。	0
21		6	妮塔悸响			呼……呼……	0
22		6	妮塔悸响			我控制住了火焰，没有失控……	0
23		6	妮塔悸响			我成功了……一次又一次。世界上没有赌徒能有这样完美的胜率。	0
24		6	妮塔悸响			或许真的如分析员所说，幸运没有眷顾过我，我也从未信仰它。	0
25		6	妮塔悸响			那么支撑我走到现在的……到底是什么呢？	0
26		0				意识在迷幻多彩的海中漂流，妮塔无法找到边际，只能任由思绪自由游荡。	0
27		0	分析员			即使身处最深重的黑暗，也能找到前行方向的本能。	0
28		0	分析员			被迷雾蒙蔽，仍能看清光亮的敏锐。	0
29		0	分析员			还有面对无数次挫折后，能毫不犹豫继续前进的勇气。	0
