xxx_701446605	A	A	A	A	A	A	A
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable
1		0				等到两人的心跳渐渐平复后，我们的思绪重新回到恒约仪式上。	0
2		0				肴轻巧地从床上滑下，重新整理了一下装甲。在伸了个懒腰后，逐渐变得精神起来。	0
3		6	肴冬至			好啦，这下我们都吃饱了，得干正事~咯~	0
4		0				肴翻开随身手册，轻轻转动着指尖的笔，目光扫过一行行待办事项。	0
5		0				我的终端突然响起提示音。点开一看，是肴申请的带薪假审批流转到了我这里。	0
6		0				我毫不犹豫地点下确认，通过了审核。	0
7		0	分析员			带薪假这么长，想好去哪里度蜜月了吗？	0
8		6	肴冬至			恒约仪式的事都没安排妥当，你就开始想蜜月了？	0
9		0				肴嗔怪地瞥了我一眼，但随即陷入沉思，似乎真的在认真考虑这个问题。	0
10		6	肴冬至			去哪里好呢……	0
11		0				突然，她像是想起什么似的眼前一亮。	0
12		6	肴冬至			对了！	0
13		0				一阵翻箱倒柜后，肴从收纳箱里找出两张度假酒店的优惠券，在我眼前晃了晃。	0
14		6	肴冬至			上次试享后她们给的优惠券，一直没用上。正好趁着蜜月，我们再去体验一次？	0
15		0				在互相知晓彼此心意后的某个下午，肴的消息突然涌入终端。	0
16		6	肴			分析员，你看这是什么？	0
17		0	分析员			我看看……贵宾试享卡？哪儿来的。	0
18		6	肴			一家想和世界树搭上关系的超豪华度假酒店。	0
19		6	肴			她们送了好几张来，卡罗琳知道我对睡觉休息这事儿最有心得，就推荐我去试试。	0
20		6	肴			“为尊贵的您献上舒适的一晚，是我们永恒的愿景。”	0
21		0				她声情并茂地为我念着试享卡上的文案，雀跃的心情藏都藏不住。	0
22		6	肴			很不错吧？	0
23		0				图片上的套房确实令人心动，宽大的鹅绒床，浪漫的装潢设计，最重要的是，房间里还有一个浴缸……	0
24		0	分析员			那就去看看吧。	0
25		0				等我们到了酒店时，已是黄昏时分。	0
26		0				大堂内宽敞明亮，前台的服务人员接过我们的行李，微微欠身。	0
27		0	服务员			感谢客人百忙之中来参加我们的试享活动，请允许我为你们办理入住。	0
28		0				行李很快被送进房间。服务员递过房卡的同时，还附上了几张纸质调查表。	0
29		0	服务员			麻烦二位从床品、装潢、卫生服务等多个方面为我们提供评价意见，感谢。	0
30		6	肴			啥？还要填这么多东西？	0
31		0	分析员			你不会真以为我们是来纯睡觉的吧？哪有这么多天上掉馅饼的好事。	0
32		6	肴			我当然知道我们不是来纯睡觉的……啊！但也不是那种……	0
33		6	肴			我的意思是……	0
34		0				她慌乱地解释，脸颊泛起红晕，却越说越乱。	0
35		0	分析员			先别解释了，我们还是……噗……先办入住吧。	0
36		6	肴			分……分析员……你……不准笑了！	0
37		0	分析员			好好好，我严肃些。	0
38		0	服务员			完成所有体验报告后，酒店还有精美的礼物赠送，所以辛苦二位了。	0
39		0				跟随服务员来到套房门口，推开门的瞬间，映入眼帘的景象比宣传图片更加精致。	0
40		0				门刚一关上，肴就直接扑向了那张大床，整个人陷进柔软的床垫里。	0
41		9	肴			这个床，满分！	0
42		0				我正观察着酒店的选品，一旁的肴却已经抵挡不住困意。	0
43		9	肴			分析员，别勉强自己了，休息一会儿吧。	0
44		0	分析员			你是怎么做到躺下就困的？这套房等着我们测评的地方可不少呢……	0
45		9	肴			人的能量是有限的，我也是身不由己，只能睡了~	0
46		9	肴			（哈~欠）	0
47		0				一个坏主意在我心里悄然滋生，接下活的始作俑者怎么能就这么睡了？	0
48		0				于是我来到床边，手指在她腰间轻轻挠动。	0
49		0				她立刻把被子拉过头顶，把自己裹成一只毛巾虫，防御我的攻击。	0
