xxx_427712804	A	A	A	A	A	A	A
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable
1		0				团建活动结束后，我和妮塔带着收集好的「乐透卡」来到了小吉处。	0
2		0				这位勤勤恳恳在基地服务的小管家，这次也负责起统计「乐透卡」，并发放大奖的任务。	0
3		0				大概是因为活动期间，妮塔总是来频繁打扰它，导致小吉看到我们靠近时，迅速往后退了两步。	0
4		6	妮塔病号服			嗯？那小机器人不会是想躲我吧！	0
5		0	分析员			团建活动都结束了，你们也该握手言和了。	0
6		0				说到这儿，一人一机在基地大厅吵得火热的场景浮现于眼前。	0
7		0	妮塔			喂！「乐透卡」怎么可能只能换到这些东西！是不是你这个小机器人私藏了！	0
8		0	小吉			你正在污蔑一个有着高贵品格的AI机器人，警告！警告！	0
9		0	妮塔			快点交出大奖，不然我就把你拆了！	0
10		0	小吉			你们的「乐透卡」数量不够，只能拿到这些，这是完全符合规则的。	0
11		0	小吉			重复，这完全符合规则。	0
12		0	妮塔			可恶……	0
13		0				但妮塔完全没把我的话听进去，拿着一叠「乐透卡」就朝着小吉冲了过去，吓得小吉火速转起三条机械臂，毫不犹豫地开溜。	0
14		0				我连忙抓住妮塔的衣领，将她揪回身边。	0
15		0	分析员			你把小吉吓跑了，谁给我们兑换大奖？而且，它二十四小时都在基地大厅，你不怕它举报你偷吃零食？	0
16		6	妮塔病号服			诶？！我怎么没想到这茬……	0
17		0				妮塔叉起双手，颇不服气地撇了小吉一眼后，还是决定乖乖待在我身边，礼貌待“吉”。	0
18		0	分析员			小吉，这些是我和妮塔收集来的「乐透卡」。	0
19		9	小吉			核对数量，排序中……请稍等……	0
20		0				在谨慎的计算后，一个惊喜的答案从小吉口中说出。	0
21		9	小吉			恭喜你们，你们目前持有「乐透卡」数量为最多，可以获得最终大……	0
22		0				小吉还没说完，就被妮塔抓住机械臂，整个吉倒挂了过来，上下摇晃着。	0
23		6	妮塔病号服			真的吗，真的吗？最终大奖真的是我和分析员的？	0
24		9	小吉			警告！危险操作！警告！	0
25		0				眼看着妮塔准备开心地拉着小吉呼啦啦转圈，我赶紧在这位小管家起飞前将它接了过来。	0
26		0	分析员			小吉都这么说了，当然是真的。所以，大奖是什么？	0
27		9	小吉			稍……稍后会送到……获……获奖者房间……	0
28		0				小吉的机身微微发热，语言系统也卡顿起来，刚被我放到地上，它就立刻消失于我们的视野。	0
29		6	妮塔病号服			诶？它怎么走了？	0
30		0	分析员			肯定是给你运大奖去了，你就别想着折腾它了。	0
31		6	妮塔病号服			我没折腾它！不是分析员说的吗？要和它握手言和！	0
32		0	分析员			好……好吧，好一个物理意义上的握手言和。	0
33		6	妮塔病号服			呜呼~我们快回房间看看大奖是什么吧！	0
34		0				妮塔拉起我的手，快步朝房间走去。	0
35		0				越靠近房间，妮塔的脚步就越轻盈，最后更是每走一步又再转个圈，快活地不行。	0
36		0	分析员			还没看到大奖就这么开心，看来待会你的心率是一定会突破理论值了。	0
37		0				听到我提起心率实验的事，妮塔的脚步突然停住。她盯着我，眼底升起几分惊异。	0
38		0	分析员			怎么了，你该不会是团建活动玩的太开心，把我们的正事都忘了吧？	0
39		6	妮塔病号服			没，我当然没忘……	0
40		0				嘟囔着回答后，似是为了掩饰声音里的动摇，她轻轻笑了两声，嘴角却看不出一丝上扬的弧度。	0
41		0				两人继续走着，但不知不觉我就超过了妮塔。她小跑几步追上我后，又再刻意放慢脚步。	0
42		0				几番拉扯后，这段通向宿舍的路显得极为漫长。	0
43		6	妮塔病号服			分析员，我突然想起我有点要紧事……不然大奖我们过会再看？	0
44		0				妮塔眼神躲闪着，不敢与我对视。双手背在身后，紧紧攥着衣服。	0
45		0	分析员			有什么要紧事？	0
46		6	妮塔病号服			呃……我和恩雅姐约好了去孤儿院看看孩子们！	0
47		0	分析员			有这事儿？那我给恩雅发个消息，告诉她我也去。	0
48		6	妮塔病号服			别！！！是我记错了，好像……好像不是今天，哈哈……	0
49		0				有些泛白的指节紧紧攀在我的手腕上，冰冷带着些湿润的触感随即传来。	0
50		0				古怪的气氛渐渐扩散开来，妮塔侧着身子，逃避着我们正前往着的方向。	0
51		0				面对我的审视，她勉强牵动嘴角，挂出苦笑。	0
52		0	分析员			你不想去看大奖是什么？对不对？	0
53		0				人们习惯将心事藏起来，为了让别人看不见、摸不透、猜不着，恨不得筑起高墙，将自己围困起来。	0
54		0				好在妮塔是不同的，我的一句疑问，就能让她抡起大锤将墙敲个粉碎，再把心赤裸地摆在我面前。	0
55		0				这样的过程很痛苦。但我知道，她心里一定认为这比让我失望好上很多很多。	0
56		6	妮塔病号服			对，我不想去了。	0
57		0	分析员			为什么，你刚才不还很期待吗？	0
58		6	妮塔病号服			不管那大奖是什么……我的心率都不会达到理论值。	0
59		6	妮塔病号服			打开门之后，分析员就一定会对我失望……毕竟花了这么多心思都没用……	0
60		0				她的情绪很激动，高涨的声音混杂着嘶哑，又极速落了下来。	0
61		0				在无话可说之后，她试图逃离这里，带着满脸的委屈和惝恍。	0
62		0				但她没能成功，因为我紧紧抓住了她的手，将她拉到离我更近更近的位置。	0
63		0	分析员			看起来，困惑妮塔的问题有些多，我们一个一个来。	0
64		0	分析员			首先，我像信任自己一样信任妮塔，所以我永远不会对你失望。	0
65		0	分析员			其次，我花的那些心思并不是为了什么心率实验，这点我也是真正踏上旅程才意识到。	0
66		0	分析员			比起什么理论值，我更想看到妮塔开心快乐的样子。	0
67		0	分析员			所以，现在能告诉我，为什么笃定自己达不到理论值吗？	0
68		0				我的话像一剂温和的镇定，随着她几次深呼吸，逐渐扩散开来，使她的情绪渐渐平静。	0
69		6	妮塔病号服			我一直以为我是个很贪心的人，想要好吃的，想要漫画里那种树屋，想要金子……总之好多好多。	0
70		6	妮塔病号服			但和分析员一起参加团建活动，有了很多美好回忆后我才发现……	0
71		6	妮塔病号服			想要的，至始至终都是分析员。	0
72		6	妮塔病号服			分析员的关心和陪伴……这种事一旦尝到了甜头，我就再也没办法对任何东西心动了。	0
73		6	妮塔病号服			所以不管我房间里的大奖是什么，结果都是一样的。	0
74		0				她的每个字都像是从心底挤出来一般，吐露得十分艰难。	0
75		0				最后一句说完，她像是卸下重担，身体放松了下来。	0
76		0	分析员			妮塔……真狡猾啊。	0
77		6	妮塔病号服			诶？！什……什么狡猾？	0
78		0	分析员			在我毫无防备的时候，自顾自地说了那么多犯规的话，难道是想看我难为情的样子？	0
79		0				我贴近了她的脸，让绿宝石般的眸子完全占据自己的视线。	0
80		0				直到红晕扩散到她的耳根，仿佛即将燃烧时，我才轻笑着，放弃了继续逗弄她的想法。	0
81		0	分析员			虽然结果都一样，但我们可以让过程发生些小小变化。	0
82		0	分析员			比如，门后的大奖不是让心率上升的道具，而是一个奖励。奖励我们这一路的坦诚、勇敢和默契。	0
83		0	分析员			这样说的话，妮塔有兴趣看看它了吗？	0
84		0				妮塔短暂地望了一眼房间的方向，又思索片刻，最后郑重地冲我点了点头。	0
85		6	妮塔病号服			嗯。	0
86		0	分析员			走吧，我陪你。	0
87		0				负面的情绪渐渐散去，我们两人像散步一样，轻松悠闲地来到了房间门口。	0
88		0				妮塔将手指按在了指纹识别区，而我的手掌覆了上去，平复她的不安。	0
89		0				门打开的刹那，世界陷入了寂静。	0
90		0				金色的光芒如同融化的琥珀，从门缝中缓缓流淌而出。不同于之前，这次的光芒更加凝实，更加明亮。	0
91		0				隔了片刻，妮塔才谨慎地睁开一只眼，仔细端详着眼前的事物。	0
92		0				现实与梦境在这一刻重叠，那尊黄金招财猫安静地伫立着，和她梦中的样子分毫不差。	0
93		0	妮塔			居然是……不是，我该不会是在做梦吧？	0
94		0				妮塔的惊叹如同一片羽毛，落在光晕中。	0
95		0	分析员			这回真是赚大了。	0
96		0				耀眼给人一种眩晕感，我们仿佛在招财猫的金色重影中看到了它的本源，那亘古恒星的余晖。	0
97		0				刚刚从低落情绪缓过来的妮塔，被突然到来的喜悦冲昏了头脑。	0
98		0				腿脚一软，整个人扑倒在黄金招财猫上。贪婪地享受着财富带来的快乐。	0
99		0	妮塔			哇！！！！！	0
100		0	妮塔			这么大一块金子，都够建孤儿院了吧！	0
101		0	妮塔			哈哈哈哈！	0
102		0	分析员			刚才还有人说不想看呢，变脸的速度未免也太快了吧。	0
103		0				在我的打趣下，妮塔不好意思地吐了吐舌头。	0
104		0	妮塔			是分析员说的嘛，虽然结果一样，但我现在可以好好享受过程。	0
105		0				砰——！	0
106		0				笑得正开心时，彩带在头顶炸开，纷纷扬扬，为整个房间笼罩上一层梦幻氛围。	0
107		9	妮塔病号服			虽然大招财猫很棒~	0
